screen,ui_field,direction,api_endpoint,api_field
Admin Dashboard,Recent order customer,receive,GET /orders/{orderId},guest_email
Admin Dashboard,Recent order status,receive,GET /orders/{orderId},status
Admin Dashboard,Recent order amount,receive,GET /orders/{orderId},total_paise
Admin Dashboard,Recent order date,receive,GET /orders/{orderId},created_at
Admin Dashboard,Total refunds,receive,GET /admin/reports,total_refunds_paise
Admin Dashboard,Orders by status,receive,GET /admin/reports,orders_by_status
Admin Dashboard,Top products,receive,GET /admin/reports,top_products
Admin Order List,Order #,receive,GET /orders,data.order_number
Admin Order List,Order #,receive,GET /orders/{orderId},order_number
Admin Order List,Customer,receive,GET /orders/{orderId},guest_email
Admin Order List,Status,receive,GET /orders/{orderId},status
Admin Order List,Total,receive,GET /orders/{orderId},total_paise
Admin Order List,Date,receive,GET /orders/{orderId},created_at
Admin Order List,Advance Status (Ship/Deliver/Pack),send,POST /orders/{orderId}/advance,status
Admin Order List,Advance Status notes,send,POST /orders/{orderId}/advance,notes
Admin Order Detail,Order #,receive,GET /orders/{orderId},order_number
Admin Order Detail,Order Status,receive,GET /orders/{orderId},status
Admin Order Detail,Placed on (date),receive,GET /orders/{orderId},created_at
Admin Order Detail,Customer,receive,GET /orders/{orderId},guest_email
Admin Order Detail,Timeline status,receive,GET /orders/{orderId}/timeline,status
Admin Order Detail,Timeline date,receive,GET /orders/{orderId}/timeline,created_at
Admin Order Detail,Product (order item),receive,GET /orders/{orderId},items.sku_snapshot
Admin Order Detail,SKU,receive,GET /orders/{orderId},items.sku_id
Admin Order Detail,Qty,receive,GET /orders/{orderId},items.quantity
Admin Order Detail,Unit Price,receive,GET /orders/{orderId},items.unit_price_paise
Admin Order Detail,Tax,receive,GET /orders/{orderId},items.tax_paise
Admin Order Detail,Total (line),receive,GET /orders/{orderId},items.line_total_paise
Admin Order Detail,Tracking event description,receive,GET /orders/{orderId}/tracking,description
Admin Order Detail,Tracking location,receive,GET /orders/{orderId}/tracking,location
Admin Order Detail,Tracking event time,receive,GET /orders/{orderId}/tracking,event_at
Admin Order Detail,Return request reason,receive,GET /return-requests/{returnRequestId},reason
Admin Order Detail,Return request status,receive,GET /return-requests/{returnRequestId},status
Admin Order Detail,Approve/Reject return,send,POST /return-requests/{returnRequestId}/review,action
Admin Order Detail,Refund ID,receive,GET /orders/{orderId}/refunds,id
Admin Order Detail,Refund reason,receive,GET /orders/{orderId}/refunds,reason
Admin Order Detail,Refund amount,receive,GET /orders/{orderId}/refunds,amount_paise
Admin Order Detail,Refund status,receive,GET /orders/{orderId}/refunds,status
Admin Order Detail,Refund date,receive,GET /orders/{orderId}/refunds,processed_at
Admin Order Detail,Subtotal,receive,GET /orders/{orderId},subtotal_paise
Admin Order Detail,Discount,receive,GET /orders/{orderId},discount_paise
Admin Order Detail,Promo code,receive,GET /orders/{orderId},promo_code_snapshot
Admin Order Detail,Shipping,receive,GET /orders/{orderId},shipping_paise
Admin Order Detail,Tax (GST),receive,GET /orders/{orderId},tax_paise
Admin Order Detail,Total,receive,GET /orders/{orderId},total_paise
Admin Order Detail,Delivery address full name,receive,GET /orders/{orderId},delivery_address_snapshot
Admin Order Detail,PIN code,receive,GET /orders/{orderId},pin_code
Admin Order Detail,Advance Status,send,POST /orders/{orderId}/advance,status
Admin Order Detail,Advance Status notes,send,POST /orders/{orderId}/advance,notes
Admin Order Detail,Cancel Order reason,send,POST /orders/{orderId}/cancel,reason
Admin Catalogue Products,Product name,receive,GET /products,data.name
Admin Catalogue Products,SKU code,receive,GET /products,data.skus
Admin Catalogue Products,Brand,receive,GET /products,data.brand_id
Admin Catalogue Products,Category,receive,GET /products,data.category_id
Admin Catalogue Products,Price (incl. tax),receive,GET /products,data.base_price_paise
Admin Catalogue Products,Rating,receive,GET /products,data.average_rating
Admin Catalogue Products,Status,receive,GET /products,data.is_active
Admin Catalogue Products,Product image,receive,GET /products,data.images
Admin Catalogue Products,Deactivate/Activate product,send,DELETE /products/{productId},message
Admin Create Product,Product name,send,POST /products,name
Admin Create Product,Slug,send,POST /products,slug
Admin Create Product,Description,send,POST /products,description
Admin Create Product,Base price (₹),send,POST /products,base_price_paise
Admin Create Product,Tax rate (%),send,POST /products,tax_rate_pct
Admin Create Product,Is returnable,send,POST /products,is_returnable
Admin Create Product,Return window (days),send,POST /products,return_window_days
Admin Create Product,Attributes,send,POST /products,attributes
Admin Create Product,Image URL,send,POST /products/{productId}/images,url
Admin Create Product,Alt text,send,POST /products/{productId}/images,alt_text
Admin Create Product,Sort order,send,POST /products/{productId}/images,sort_order
Admin Create Product,Brand,send,POST /products,brand_id
Admin Create Product,Category,send,POST /products,category_id
Admin Create Product,Brand options,receive,GET /brands/{brandId},name
Admin Create Product,Category options,receive,GET /categories,name
Admin Create Product,SKU code,send,POST /products/{productId}/skus,sku_code
Admin Create Product,SKU variant attributes,send,POST /products/{productId}/skus,variant_attributes
Admin Create Product,SKU price,send,POST /products/{productId}/skus,price_paise
Admin Create Product,SKU stock quantity,send,POST /products/{productId}/skus,stock_qty
Admin Create Product,SKU active,send,POST /products/{productId}/skus,is_active
Admin Create Product,Product active status,send,POST /products,is_active
Admin Edit Product,Product name,receive,GET /products/{productId},name
Admin Edit Product,Product name,send,PUT /products/{productId},name
Admin Edit Product,Brand,receive,GET /products/{productId},brand_id
Admin Edit Product,Brand,send,PUT /products/{productId},brand_id
Admin Edit Product,Category,receive,GET /products/{productId},category_id
Admin Edit Product,Category,send,PUT /products/{productId},category_id
Admin Edit Product,Short description,receive,GET /products/{productId},description
Admin Edit Product,Short description,send,PUT /products/{productId},description
Admin Edit Product,Full description,receive,GET /products/{productId},description
Admin Edit Product,Full description,send,PUT /products/{productId},description
Admin Edit Product,Base price (₹),receive,GET /products/{productId},base_price_paise
Admin Edit Product,Base price (₹),send,PUT /products/{productId},base_price_paise
Admin Edit Product,Tax class,receive,GET /products/{productId},tax_rate_pct
Admin Edit Product,Tax class,send,PUT /products/{productId},tax_rate_pct
Admin Edit Product,Active status,receive,GET /products/{productId},is_active
Admin Edit Product,Active status,send,PUT /products/{productId},is_active
Admin Edit Product,Attributes,receive,GET /products/{productId},attributes
Admin Edit Product,Attributes,send,PUT /products/{productId},attributes
Admin Edit Product,Is returnable,receive,GET /products/{productId},is_returnable
Admin Edit Product,Is returnable,send,PUT /products/{productId},is_returnable
Admin Edit Product,Return window (days),receive,GET /products/{productId},return_window_days
Admin Edit Product,Return window (days),send,PUT /products/{productId},return_window_days
Admin Edit Product,SKU code,receive,GET /products/{productId}/skus,sku_code
Admin Edit Product,SKU code,send,PUT /products/{productId}/skus/{skuId},sku_code
Admin Edit Product,SKU variant,receive,GET /products/{productId}/skus,variant_attributes
Admin Edit Product,SKU variant,send,PUT /products/{productId}/skus/{skuId},variant_attributes
Admin Edit Product,SKU price adjustment,receive,GET /products/{productId}/skus,price_paise
Admin Edit Product,SKU price adjustment,send,PUT /products/{productId}/skus/{skuId},price_paise
Admin Edit Product,Stock,receive,GET /products/{productId}/skus,stock_qty
Admin Edit Product,Stock,send,PUT /products/{productId}/skus/{skuId},stock_qty
Admin Edit Product,Reserved (read-only),receive,GET /products/{productId}/skus,reserved_qty
Admin Edit Product,SKU active,receive,GET /products/{productId}/skus,is_active
Admin Edit Product,SKU active,send,PUT /products/{productId}/skus/{skuId},is_active
Admin Edit Product,Product image URL,receive,GET /products/{productId}/images,url
Admin Edit Product,Product image alt text,receive,GET /products/{productId}/images,alt_text
Admin Edit Product,Product image sort order,receive,GET /products/{productId}/images,sort_order
Admin Edit Product,Slug,receive,GET /products/{productId},slug
Admin Edit Product,Slug,send,PUT /products/{productId},slug
Admin Edit Product,Brand options,receive,GET /brands/{brandId},name
Admin Edit Product,Category options,receive,GET /categories,name
Admin Catalogue Categories,Name,receive,GET /categories,name
Admin Catalogue Categories,Slug,receive,GET /categories,slug
Admin Catalogue Categories,Parent Category,receive,GET /categories,parent_id
Admin Catalogue Categories,Status,receive,GET /categories,is_active
Admin Catalogue Categories,Created,receive,GET /categories,created_at
Admin Create Category,Category name,send,POST /categories,name
Admin Create Category,Slug,send,POST /categories,slug
Admin Create Category,Description,send,POST /categories,description
Admin Create Category,Parent category,send,POST /categories,parent_id
Admin Create Category,Active,send,POST /categories,is_active
Admin Create Category,Parent category,receive,GET /categories,name
Admin Edit Category,Category name,receive,GET /categories/{categoryId},name
Admin Edit Category,Slug,receive,GET /categories/{categoryId},slug
Admin Edit Category,Description,receive,GET /categories/{categoryId},description
Admin Edit Category,Parent category,receive,GET /categories/{categoryId},parent_id
Admin Edit Category,Status,receive,GET /categories/{categoryId},is_active
Admin Edit Category,Created,receive,GET /categories/{categoryId},created_at
Admin Edit Category,Last modified,receive,GET /categories/{categoryId},updated_at
Admin Edit Category,Category name,send,PUT /categories/{categoryId},name
Admin Edit Category,Slug,send,PUT /categories/{categoryId},slug
Admin Edit Category,Description,send,PUT /categories/{categoryId},description
Admin Edit Category,Parent category,send,PUT /categories/{categoryId},parent_id
Admin Edit Category,Status,send,PUT /categories/{categoryId},is_active
Admin Edit Category,Delete category,send,DELETE /categories/{categoryId},message
Admin Catalogue Brands,Brand Name,receive,GET /brands,data.name
Admin Catalogue Brands,Brand Name,receive,GET /brands/{brandId},name
Admin Catalogue Brands,Slug,receive,GET /brands/{brandId},slug
Admin Catalogue Brands,Created,receive,GET /brands/{brandId},created_at
Admin Create Brand,Brand name,send,POST /brands,name
Admin Create Brand,Slug,send,POST /brands,slug
Admin Edit Brand,Brand name,receive,GET /brands/{brandId},name
Admin Edit Brand,Slug,receive,GET /brands/{brandId},slug
Admin Edit Brand,Created,receive,GET /brands/{brandId},created_at
Admin Edit Brand,Last Updated,receive,GET /brands/{brandId},updated_at
Admin Edit Brand,Brand name,send,PUT /brands/{brandId},name
Admin Edit Brand,Slug,send,PUT /brands/{brandId},slug
Admin Promotions,Code,receive,GET /promo-codes,code
Admin Promotions,Discount Type,receive,GET /promo-codes,discount_type
Admin Promotions,Value,receive,GET /promo-codes,discount_value
Admin Promotions,Min. Order,receive,GET /promo-codes,minimum_order_paise
Admin Promotions,Uses / Limit,receive,GET /promo-codes,used_count
Admin Promotions,Uses / Limit,receive,GET /promo-codes,max_uses
Admin Promotions,Expiry Date,receive,GET /promo-codes,expires_at
Admin Promotions,Status,receive,GET /promo-codes,is_active
Admin Create Promo Code,Promo code,send,POST /promo-codes,code
Admin Create Promo Code,Discount type,send,POST /promo-codes,discount_type
Admin Create Promo Code,Discount value,send,POST /promo-codes,discount_value
Admin Create Promo Code,Minimum order value,send,POST /promo-codes,minimum_order_paise
Admin Create Promo Code,Max total uses,send,POST /promo-codes,max_uses
Admin Create Promo Code,Expiry date,send,POST /promo-codes,expires_at
Admin Create Promo Code,Active,send,POST /promo-codes,is_active
Admin Edit Promo Code,Promo code,receive,GET /promo-codes/{promoCodeId},code
Admin Edit Promo Code,Discount type,receive,GET /promo-codes/{promoCodeId},discount_type
